name,oid,ocode,code,region,status,fueltech,unit_id,unit_num,station_cap_registered,craeted_by
Murray,AWW,au.nem.vic.murray,MURRAY,VIC1,operating,hydro,,,1575.0,
Rocky Point,AWX,au.nem.qld.rpcg,RPCG,QLD1,operating,bioenergy_biomass,,,30.0,
Pindari,AWY,au.nem.nsw.pindari,PINDARI,NSW1,operating,hydro,,,6.7,
Quarantine,AXZ,au.nem.sa.quarantn,QPS1,SA1,operating,gas_ocgt,,,229.0,
Quarantine,AXZ,au.nem.sa.quarantn,QPS2,SA1,operating,gas_ocgt,,,229.0,
Quarantine,AXZ,au.nem.sa.quarantn,QPS3,SA1,operating,gas_ocgt,,,229.0,
Quarantine,AXZ,au.nem.sa.quarantn,QPS4,SA1,operating,gas_ocgt,,,229.0,
Quarantine,AXZ,au.nem.sa.quarantn,QPS5,SA1,operating,gas_ocgt,,,229.0,
Lonsdale,AXA,au.nem.sa.lonsdale,LONSDALE,SA1,operating,distillate,,,20.0,
Hallett,AX2,au.nem.sa.aglhal,AGLHAL,SA1,operating,gas_ocgt,,,220.0,
Somerton,AXB,au.nem.vic.aglsom,AGLSOM,VIC1,operating,gas_ocgt,,,170.0,
West Nowra Generation Facility,AXF,au.nem.nsw.aglnow1,AGLNOW1,NSW1,operating,distillate,,,1.0,
Toora,AX4,au.nem.vic.toorawf,TOORAWF,VIC1,operating,wind,,,21.0,
Brooklyn U13,AXG,au.nem.vic.brooklyn,BROOKLYN,VIC1,operating,bioenergy_biogas,,,1.0,
Eastern Creek,AXH,au.nem.nsw.eastcrk,EASTCRK,NSW1,operating,bioenergy_biogas,,,5.06,
Longford,AX5,au.nem.vic.longford,LONGFORD,VIC1,operating,gas_ocgt,,,31.0,
Tarong North,AX6,au.nem.qld.tarongn,TNPS1,QLD1,operating,coal_black,,,443.0,
Wivenhoe Small,AX7,au.nem.qld.wivensh,WIVENSH,QLD1,operating,hydro,,,4.7,
Mornington,AX9,au.nem.vic.mornw,MORNW,VIC1,operating,bioenergy_biogas,,,1.0,
Wyndham,AXW,au.nem.vic.wyndw,WYNDW,VIC1,operating,bioenergy_biogas,,,1.0,
Earthpower,AXX,au.nem.nsw.pmattaep,PMATTAEP,NSW1,retired,gas_recip,,,,
Suncoast Gold Macadamias,AXY,au.nem.qld.suncoast,SUNCOAST,QLD1,retired,bioenergy_biomass,,,,
Terminal Storage Mini Hydro,AYZ,au.nem.sa.termstor,TERMSTOR,SA1,retired,hydro,,,,
Lake Bonney 1,AYC,au.nem.sa.lkbonny1,LKBONNY1,SA1,operating,wind,,,80.5,
Teralba,AY2,au.nem.nsw.teralba,TERALBA,NSW1,operating,gas_wcmg,,,3.0,
Roghan Road,AYB,au.nem.qld.edlrgnrd,EDLRGNRD,QLD1,operating,bioenergy_biogas,,,2.0,
Rochedale,AYG,au.nem.qld.rochedal,ROCHEDAL,QLD1,operating,bioenergy_biogas,,,3.0,
Whitwood Road,AYH,au.nem.qld.whit1,WHIT1,QLD1,operating,bioenergy_biogas,,,1.0,
Lucas Heights 2,AY5,au.nem.nsw.lucas2s2,LUCAS2S2,NSW1,operating,bioenergy_biogas,,,16.6,
Angaston,AYT,au.nem.sa.angaston,ANGAST1,SA1,operating,distillate,,,50.0,
Wattle Point,AYK,au.nem.sa.wpwf,WPWF,SA1,operating,wind,,,90.75,
Cathedral Rocks,AY6,au.nem.sa.cathrock,CATHROCK,SA1,operating,wind,,,66.0,
Bell Bay,AY7,au.nem.tas.bellbay,BELLBAY1,TAS1,retired,gas_steam,,,,
Bell Bay,AY7,au.nem.tas.bellbay,BELLBAY2,TAS1,retired,gas_steam,,,,
Woolnorth Studland Bay / Bluff Point,AYP,au.nem.tas.woolnth1,WOOLNTH1,TAS1,operating,wind,,,65.0,
Bastyan,AY8,au.nem.tas.bastyan,BASTYAN,TAS1,operating,hydro,,,79.9,
Butlers Gorge,AYR,au.nem.tas.butlersg,BUTLERSG,TAS1,operating,hydro,,,14.4,
Cethana,AYS,au.nem.tas.cethana,CETHANA,TAS1,operating,hydro,,,85.0,
Cluny,AY9,au.nem.tas.cluny,CLUNY,TAS1,operating,hydro,,,19.0,
Devils Gate,AYW,au.nem.tas.devilsg,DEVILS_G,TAS1,operating,hydro,,,60.0,
Fisher,AYX,au.nem.tas.fisher,FISHER,TAS1,operating,hydro,,,43.2,
Gordon,AYY,au.nem.tas.gordon,GORDON,TAS1,operating,hydro,,,457.0,
Gordon,AYY,au.nem.tas.gordon,GOVILLB1,TAS1,operating,hydro,,,457.0,
John Butters,CZZ,au.nem.tas.jbutters,JBUTTERS,TAS1,operating,hydro,,,144.0,
Lemonthyme / Wilmot,CZA,au.nem.tas.lemwil,LEM_WIL,TAS1,operating,hydro,,,82.0,
Catagunya / Liapootah / Wayatinah,CZC,au.nem.tas.liwyca,CATAGUN1,TAS1,retired,distillate,,,245.0,
Catagunya / Liapootah / Wayatinah,CZC,au.nem.tas.liwyca,LI_WY_CA,TAS1,operating,hydro,,,245.0,
Lake Echo,CZ2,au.nem.tas.lkecho,LK_ECHO,TAS1,operating,hydro,,,32.4,
Mackintosh,CZB,au.nem.tas.mackntsh,MACKNTSH,TAS1,operating,hydro,,,79.9,
Meadowbank,CZ3,au.nem.tas.meadowbk,MEADOWB2,TAS1,retired,distillate,,,40.0,
Meadowbank,CZ3,au.nem.tas.meadowbk,MEADOWBK,TAS1,operating,hydro,,,40.0,
Paloona,CZE,au.nem.tas.paloona,PALOONA,TAS1,operating,hydro,,,28.0,
Poatina,CZF,au.nem.tas.ptina110,PO110NL1,TAS1,operating,hydro,,,125.0,
Poatina,CZF,au.nem.tas.ptina110,POAT110,TAS1,operating,hydro,,,125.0,
Poatina,CZ4,au.nem.tas.ptina220,POAT220,TAS1,operating,hydro,,,200.0,
Reece,CZG,au.nem.tas.reece,REECE1,TAS1,operating,hydro,,,231.2,
Reece,CZG,au.nem.tas.reece,REECE2,TAS1,operating,hydro,,,231.2,
Repulse,CZH,au.nem.tas.repulse,REPULSE,TAS1,operating,hydro,,,28.0,
Tarraleah,CZ5,au.nem.tas.tarralea,TARRALEA,TAS1,operating,hydro,,,90.0,
Trevallyn,CZT,au.nem.tas.trevalln,TREVALLN,TAS1,operating,hydro,,,80.0,
Tribute,CZK,au.nem.tas.tribute,TRIBNL1,TAS1,operating,hydro,,,107.8,
Tribute,CZK,au.nem.tas.tribute,TRIBUTE,TAS1,operating,hydro,,,107.8,
Tungatinah,CZ6,au.nem.tas.tungatin,TUNGATIN,TAS1,operating,hydro,,,125.0,
Yambuk,CZ8,au.nem.vic.yambuk,YAMBUKWF,VIC1,operating,wind,,,30.0,
Mt Millar,CZR,au.nem.sa.mtmillar,MTMILLAR,SA1,operating,wind,,,70.0,
Wonthaggi,CZS,au.nem.vic.wonwp,WONWP,VIC1,operating,wind,,,12.0,
Banimboola,CZW,au.nem.vic.baps,BAPS,VIC1,operating,hydro,,,12.0,
Starfish Hill,CZX,au.nem.sa.starfhill,STARHLWF,SA1,operating,wind,,,34.5,
Challicum Hills,CZY,au.nem.vic.challwf,CHALLHWF,VIC1,operating,wind,,,52.5,
Canunda,CAZ,au.nem.sa.canunda1,CNUNDAWF,SA1,operating,wind,,,46.0,
Laverton North,CAA,au.nem.vic.lngs,LNGS1,VIC1,operating,gas_ocgt,,,312.0,
Laverton North,CAA,au.nem.vic.lngs,LNGS2,VIC1,operating,gas_ocgt,,,312.0,
Rowallan,CAC,au.nem.tas.rowallan,ROWALLAN,TAS1,operating,hydro,,,10.5,
Invicta Sugar Mill,CA2,au.nem.qld.invicta,INVICTA,QLD1,operating,bioenergy_biomass,,,39.0,
Pioneer Sugar Mill,CAB,au.nem.qld.pioneer,PIONEER,QLD1,operating,bioenergy_biomass,,,68.0,
Braemar,CA3,au.nem.qld.braemara,BRAEMAR1,QLD1,operating,gas_wcmg,,,504.0,
Braemar,CA3,au.nem.qld.braemara,BRAEMAR2,QLD1,operating,gas_wcmg,,,504.0,
Braemar,CA3,au.nem.qld.braemara,BRAEMAR3,QLD1,operating,gas_wcmg,,,504.0,
Bell Bay Three,CAE,au.nem.tas.bbp31,BBTHREE1,TAS1,operating,gas_ocgt,,,163.0,
Bell Bay Three,CAE,au.nem.tas.bbp31,BBTHREE2,TAS1,operating,gas_ocgt,,,163.0,
Bell Bay Three,CAE,au.nem.tas.bbp31,BBTHREE3,TAS1,operating,gas_ocgt,,,163.0,
Bell Bay Three,CAE,au.nem.tas.bbp31,TVPP104,TAS1,operating,gas_ocgt,,,163.0,
Oaky Creek,CAF,au.nem.qld.ocps,OAKYCREK,QLD1,operating,gas_wcmg,,,12.0,
Tatura Generator,CA4,au.nem.vic.tatura,TATURA01,VIC1,operating,bioenergy_biogas,,,1.1,
German Creek,CAG,au.nem.qld.germcrk,GERMCRK,QLD1,operating,gas_wcmg,,,32.0,
Grange Avenue,CAH,au.nem.nsw.grangeav,GRANGEAV,NSW1,operating,bioenergy_biogas,,,2.0,
Remount,CA5,au.nem.tas.remount,REMOUNT,TAS1,operating,bioenergy_biogas,,,2.0,
Daandine,CAT,au.nem.qld.daandine,DAANDINE,QLD1,operating,gas_recip,,,33.0,
Awaba,CAK,au.nem.nsw.awabaref,AWABAREF,NSW1,retired,bioenergy_biogas,,,,
Isis Central Sugar Mill,CA6,au.nem.qld.icsm,ICSM,QLD1,operating,bioenergy_biomass,,,25.0,
Moranbah Generation,CA7,au.nem.qld.moranbah,MORANBAH,QLD1,operating,gas_wcmg,,,12.56,
KRC,CAP,au.nem.qld.krccogen,KRCCOGEN,QLD1,retired,gas_ocgt,,,,
Kogan Creek,CA8,au.nem.qld.koganck,KPP_1,QLD1,operating,coal_black,,,744.0,
Lake Bonney 2,CAR,au.nem.sa.lkbonny2,LKBONNY2,SA1,operating,wind,,,159.0,
