Quarantine,QUARANTN,SA1,operating,QPS5,gas_ocgt,128
Snowtown,SNOWTOWN,SA1,operating,SNOWTWN1,wind,99
Snowtown North,SNOWNTH,SA1,operating,SNOWNTH1,wind,144
Snowtown South,SNOWSTH,SA1,operating,SNOWSTH1,wind,126
Snuggery,SNUG,SA1,operating,SNUG1,distillate,21
Snuggery,SNUG,SA1,operating,SNUG2,distillate,21
Snuggery,SNUG,SA1,operating,SNUG3,distillate,21
Snuggery,SNUG,SA1,operating,SNUGNL1,distillate,25
Starfish Hill,STARFHILL,SA1,operating,STARHLWF,wind,35
Tailem Bend  1,TBSF,SA1,operating,TBSF1,solar,108
Tataria Bordertown,TATIARA,SA1,operating,TATIARA1,distillate,1
Tea Tree Gully,TEATREE,SA1,retired,TEATREE1,bioenergy_biogas,1
Temporary Generation North,SATGN,SA1,operating,SATGN1,distillate,154
Temporary Generation South,SATGS,SA1,operating,SATGS1,distillate,123
Terminal Storage (Mini Hydro),TERMSTOR,SA1,retired,TERMSTOR,hydro,2
The Bluff,BLUFF,SA1,operating,BLUFF1,wind,52.5
Torrens Island,TORRIS,SA1,operating,TORRA1,gas_steam,120
Torrens Island,TORRIS,SA1,operating,TORRA2,gas_steam,120
Torrens Island,TORRIS,SA1,operating,TORRA3,gas_steam,120
Torrens Island,TORRIS,SA1,operating,TORRA4,gas_steam,120
Torrens Island,TORRIS,SA1,operating,TORRB1,gas_steam,200
Torrens Island,TORRIS,SA1,operating,TORRB2,gas_steam,200
Torrens Island,TORRIS,SA1,operating,TORRB3,gas_steam,200
Torrens Island,TORRIS,SA1,operating,TORRB4,gas_steam,200
Waterloo,WATERLWF,SA1,operating,WATERLWF,wind,130
Wattle Point,WPWF,SA1,operating,WPWF,wind,91
Willogoleche,WGWF,SA1,operating,WGWF1,wind,119
Wingfield 1,WINGF1,SA1,operating,WINGF1_1,bioenergy_biogas,5
Wingfield 2,WINGF2,SA1,operating,WINGF2_1,bioenergy_biogas,5
Bastyan,BASTYAN,TAS1,operating,BASTYAN,hydro,80
Bell Bay,BBDISEL1,TAS1,retired,BBDISEL1,distillate,75
Bell Bay,BELLBAY,TAS1,retired,BELLBAY1,gas_steam,120
Bell Bay,BELLBAY,TAS1,retired,BELLBAY2,gas_steam,120
Bell Bay Three,BBP31,TAS1,operating,BBTHREE1,gas_ocgt,35
Bell Bay Three,BBP31,TAS1,operating,BBTHREE2,gas_ocgt,35
Bell Bay Three,BBP31,TAS1,operating,BBTHREE3,gas_ocgt,35
Bell Bay Three,BBP31,TAS1,operating,TVPP104,gas_ocgt,58
Butlers Gorge,BUTLERSG,TAS1,operating,BUTLERSG,hydro,15
Catagunya/Liapootah/Wayatinah,LI_WY_CA,TAS1,operating,CATAGUN1,distillate,24
Catagunya/Liapootah/Wayatinah,LI_WY_CA,TAS1,operating,LI_WY_CA,hydro,173
Cattle Hill,CTHLWF,TAS1,operating,CTHLWF1,wind,148
Cethana,CETHANA,TAS1,operating,CETHANA,hydro,85
Cluny,CLUNY,TAS1,operating,CLUNY,hydro,19
Devils Gate,DEVILS_G,TAS1,operating,DEVILS_G,hydro,60
Fisher,FISHER,TAS1,operating,FISHER,hydro,43
George Town,GEORGTWN,TAS1,retired,GEORGTN1,distillate,30
Gordon,GORDON,TAS1,operating,GORDON,hydro,432
Gordon,GORDON,TAS1,operating,GOVILLB1,hydro,25
Granville Harbour,GRANWF,TAS1,operating,GRANWF1,wind,111
John Butters,JBUTTERS,TAS1,operating,JBUTTERS,hydro,144
Lake Echo,LK_ECHO,TAS1,operating,LK_ECHO,hydro,32
Lemonthyme/Wilmot,LEM_WIL,TAS1,operating,LEM_WIL,hydro,82
Mackintosh,MACKNTSH,TAS1,operating,MACKNTSH,hydro,80
Meadowbank,MEADOWBK,TAS1,operating,MEADOWB2,distillate,24
Meadowbank,MEADOWBK,TAS1,operating,MEADOWBK,hydro,40
Midlands,MIDLDPS,TAS1,operating,MIDLDPS1,hydro,6
Musselroe,MUSSELRO,TAS1,operating,MUSSELR1,wind,168
Paloona,PALOONA,TAS1,operating,PALOONA,hydro,33
Poatina,PTINA110,TAS1,operating,PO110NL1,hydro,25
Poatina,PTINA110,TAS1,operating,POAT110,hydro,100
Poatina,PTINA220,TAS1,operating,POAT220,hydro,200
Port Latta,PORTLATT,TAS1,retired,PORTLAT1,distillate,11
Que River,QUERIVER,TAS1,retired,QUERIVE1,distillate,24
Reece,REECE,TAS1,operating,REECE1,hydro,116
Reece,REECE,TAS1,operating,REECE2,hydro,116
Remount,REMOUNT,TAS1,operating,REMOUNT,bioenergy_biogas,2
Repulse,REPULSE,TAS1,operating,REPULSE,hydro,28
Rowallan,ROWALLAN,TAS1,operating,ROWALLAN,hydro,11
Tamar Valley,TVCCPS,TAS1,operating,TVCC201,gas_ccgt,208.6
Tarraleah,TARRALEA,TAS1,operating,TARRALEA,hydro,90
Trevallyn,TREVALLN,TAS1,operating,TREVALLN,hydro,93
Tribute,TRIBUTE,TAS1,operating,TRIBNL1,hydro,25
Tribute,TRIBUTE,TAS1,operating,TRIBUTE,hydro,83
Tungatinah,TUNGATIN,TAS1,operating,TUNGATIN,hydro,125
Woolnorth,WOOLNTH1,TAS1,operating,WOOLNTH1,wind,140
Angelsea,APS,VIC1,retired,APS,brown_coal,165
Ararat,ARWF,VIC1,operating,ARWF1,wind,241.59
Bairnsdale,DEIBDL,VIC1,operating,BDL01,gas_ocgt,46
Bairnsdale,DEIBDL,VIC1,operating,BDL02,gas_ocgt,46
Bald Hills,BHWF,VIC1,operating,BALDHWF1,wind,59
Ballarat Battery,BALBESS,VIC1,operating,BALBG1,battery_discharging,30
Ballarat Battery,BALBESS,VIC1,operating,BALBL1,battery_charging,30
Ballarat Hospital,BBASEHOS,VIC1,operating,BBASEHOS,gas_recip,1
Banimboola,BAPS,VIC1,operating,BAPS,hydro,12
Bannerton,BANNSP,VIC1,operating,BANN1,solar,50
Berwick,BERWICK,VIC1,operating,BERWICK,bioenergy_biogas,7
Bogong/Mackay,MCKAY,VIC1,operating,MCKAY1,hydro,53
Bogong/Mackay,MCKAY,VIC1,operating,MCKAY2,hydro,53
Broadmeadows,BROADMDW,VIC1,operating,BROADMDW,bioenergy_biogas,5
